State,Row,Column,Abb,Year,Policy,OVR,SDR,AVR,Legend:,O,OA,OS,OSA,S
Alabama,6,6,AL,2000,N,0,0,0,,,,,,
Alaska,0,0.5,AK,2000,N,0,0,0,,,,,,
Arizona,5,2,AZ,2000,N,0,0,0,,,,,,
Arkansas,5,5,AR,2000,N,0,0,0,,,,,,
California,4,1,CA,2000,N,0,0,0,,,,,,
Colorado,4,3,CO,2000,N,0,0,0,,,,,,
Connecticut,2,10,CT,2000,N,0,0,0,,,,,,
District of Columbia,4,9,DC,2000,N,0,0,0,,,,,,
Delaware,3,11,DE,2000,N,0,0,0,,,,,,
Florida,7,8,FL,2000,N,0,0,0,,,,,,
Georgia,6,7,GA,2000,N,0,0,0,,,,,,
Hawaii,7,0.5,HI,2000,N,0,0,0,,,,,,
Idaho,2,2,ID,2000,S,0,1,0,,,,,,
Illinois,3,6,IL,2000,N,0,0,0,,,,,,
Indiana,3,7,IN,2000,N,0,0,0,,,,,,
Iowa,3,5,IA,2000,N,0,0,0,,,,,,
Kansas,5,4,KS,2000,N,0,0,0,,,,,,
Kentucky,4,6,KY,2000,N,0,0,0,,,,,,
Louisiana,6,5,LA,2000,N,0,0,0,,,,,,
Maine,0,12,ME,2000,S,0,1,0,,,,,,
Maryland,4,10,MD,2000,N,0,0,0,,,,,,
Massachusetts,2,12,MA,2000,N,0,0,0,,,,,,
Michigan,2,7,MI,2000,N,0,0,0,,,,,,
Minnesota,2,5,MN,2000,S,0,1,0,,,,,,
Mississippi,5,6,MS,2000,N,0,0,0,,,,,,
Missouri,4,5,MO,2000,N,0,0,0,,,,,,
Montana,2,3,MT,2000,N,0,0,0,,,,,,
Nebraska,4,4,NE,2000,N,0,0,0,,,,,,
Nevada,3,2,NV,2000,N,0,0,0,,,,,,
New Hampshire,1,12,NH,2000,S,0,1,0,,,,,,
New Jersey,3,10,NJ,2000,N,0,0,0,,,,,,
New Mexico,5,3,NM,2000,N,0,0,0,,,,,,
New York,2,9,NY,2000,N,0,0,0,,,,,,
North Carolina,5,8,NC,2000,N,0,0,0,,,,,,
North Dakota,2,4,ND,2000,S,0,1,0,,,,,,
Ohio,3,8,OH,2000,N,0,0,0,,,,,,
